State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Haryana,FARIDABAD,Barley,2002-03,Rabi,1678.0,Hectare,6000.0,Tonnes,3.575685339690107
Haryana,FARIDABAD,Barley,2003-04,Rabi,1470.0,Hectare,4000.0,Tonnes,2.7210884353741496
Haryana,FATEHABAD,Barley,2001-02,Rabi,3105.0,Hectare,10000.0,Tonnes,3.2206119162640903
Haryana,FATEHABAD,Barley,2002-03,Rabi,2895.0,Hectare,8000.0,Tonnes,2.763385146804836
Haryana,FATEHABAD,Barley,2003-04,Rabi,1822.0,Hectare,6000.0,Tonnes,3.293084522502744
Haryana,GURGAON,Barley,2001-02,Rabi,2634.0,Hectare,8000.0,Tonnes,3.0372057706909645
Haryana,GURGAON,Barley,2002-03,Rabi,3057.0,Hectare,8000.0,Tonnes,2.6169447170428524
Haryana,GURGAON,Barley,2003-04,Rabi,2639.0,Hectare,6000.0,Tonnes,2.2735884804850324
Haryana,HISAR,Barley,2001-02,Rabi,4058.0,Hectare,11000.0,Tonnes,2.7106949236076887
Haryana,HISAR,Barley,2002-03,Rabi,3667.0,Hectare,11000.0,Tonnes,2.9997272975184073
Haryana,HISAR,Barley,2003-04,Rabi,4655.0,Hectare,15000.0,Tonnes,3.2223415682062297
Haryana,JHAJJAR,Barley,2001-02,Rabi,1923.0,Hectare,6000.0,Tonnes,3.1201248049921997
Haryana,JHAJJAR,Barley,2002-03,Rabi,1437.0,Hectare,3000.0,Tonnes,2.0876826722338206
Haryana,JHAJJAR,Barley,2003-04,Rabi,1415.0,Hectare,3000.0,Tonnes,2.1201413427561837
Haryana,JIND,Barley,2001-02,Rabi,1466.0,Hectare,5000.0,Tonnes,3.4106412005457027
Haryana,JIND,Barley,2002-03,Rabi,876.0,Hectare,3000.0,Tonnes,3.4246575342465753
Haryana,JIND,Barley,2003-04,Rabi,829.0,Hectare,3000.0,Tonnes,3.6188178528347406
Haryana,KAITHAL,Barley,2001-02,Rabi,40.0,Hectare,0.0,Tonnes,0.0
Haryana,KAITHAL,Barley,2002-03,Rabi,33.0,Hectare,0.0,Tonnes,0.0
Haryana,KAITHAL,Barley,2003-04,Rabi,29.0,Hectare,0.0,Tonnes,0.0
Haryana,KARNAL,Barley,2001-02,Rabi,186.0,Hectare,0.0,Tonnes,0.0
Haryana,KARNAL,Barley,2002-03,Rabi,118.0,Hectare,0.0,Tonnes,0.0
Haryana,KARNAL,Barley,2003-04,Rabi,116.0,Hectare,0.0,Tonnes,0.0
Haryana,KURUKSHETRA,Barley,2001-02,Rabi,10.0,Hectare,0.0,Tonnes,0.0
Haryana,KURUKSHETRA,Barley,2002-03,Rabi,7.0,Hectare,0.0,Tonnes,0.0
Haryana,KURUKSHETRA,Barley,2003-04,Rabi,7.0,Hectare,0.0,Tonnes,0.0
Haryana,MAHENDRAGARH,Barley,2001-02,Rabi,1368.0,Hectare,3000.0,Tonnes,2.192982456140351
Haryana,MAHENDRAGARH,Barley,2002-03,Rabi,997.0,Hectare,3000.0,Tonnes,3.009027081243731
Haryana,MAHENDRAGARH,Barley,2003-04,Rabi,692.0,Hectare,3000.0,Tonnes,4.335260115606936
Haryana,PANCHKULA,Barley,2001-02,Rabi,29.0,Hectare,0.0,Tonnes,0.0
Haryana,PANCHKULA,Barley,2002-03,Rabi,21.0,Hectare,0.0,Tonnes,0.0
Haryana,PANCHKULA,Barley,2003-04,Rabi,32.0,Hectare,0.0,Tonnes,0.0
Haryana,PANIPAT,Barley,2001-02,Rabi,37.0,Hectare,0.0,Tonnes,0.0
Haryana,PANIPAT,Barley,2002-03,Rabi,77.0,Hectare,0.0,Tonnes,0.0
Haryana,PANIPAT,Barley,2003-04,Rabi,31.0,Hectare,0.0,Tonnes,0.0
Haryana,REWARI,Barley,2001-02,Rabi,1416.0,Hectare,3000.0,Tonnes,2.1186440677966103
Haryana,REWARI,Barley,2002-03,Rabi,1878.0,Hectare,6000.0,Tonnes,3.194888178913738
Haryana,REWARI,Barley,2003-04,Rabi,1248.0,Hectare,3000.0,Tonnes,2.4038461538461537
Haryana,ROHTAK,Barley,2001-02,Rabi,1918.0,Hectare,6000.0,Tonnes,3.1282586027111576
Haryana,ROHTAK,Barley,2002-03,Rabi,1349.0,Hectare,2000.0,Tonnes,1.4825796886582654
Haryana,ROHTAK,Barley,2003-04,Rabi,1628.0,Hectare,5000.0,Tonnes,3.0712530712530715
Haryana,SIRSA,Barley,2001-02,Rabi,5532.0,Hectare,16000.0,Tonnes,2.8922631959508314
Haryana,SIRSA,Barley,2002-03,Rabi,5717.0,Hectare,15000.0,Tonnes,2.6237537169844325
Haryana,SIRSA,Barley,2003-04,Rabi,4940.0,Hectare,13000.0,Tonnes,2.6315789473684212
Haryana,SONIPAT,Barley,2002-03,Rabi,367.0,Hectare,0.0,Tonnes,0.0
Haryana,SONIPAT,Barley,2003-04,Rabi,573.0,Hectare,0.0,Tonnes,0.0
Haryana,YAMUNANAGAR,Barley,2001-02,Rabi,17.0,Hectare,0.0,Tonnes,0.0
Haryana,YAMUNANAGAR,Barley,2002-03,Rabi,27.0,Hectare,0.0,Tonnes,0.0
Haryana,YAMUNANAGAR,Barley,2003-04,Rabi,29.0,Hectare,0.0,Tonnes,0.0
Haryana,AMBALA,Cotton(lint),2001-02,Kharif,24.0,Hectare,,Bales,0.0
Haryana,AMBALA,Cotton(lint),2002-03,Kharif,16.0,Hectare,0.0,Bales,0.0
Haryana,AMBALA,Cotton(lint),2003-04,Kharif,16.0,Hectare,0.0,Bales,0.0
Haryana,BHIWANI,Cotton(lint),2001-02,Kharif,64668.0,Hectare,80000.0,Bales,1.2370878950949464
Haryana,BHIWANI,Cotton(lint),2002-03,Kharif,64628.0,Hectare,84000.0,Bales,1.2997462400198057
Haryana,BHIWANI,Cotton(lint),2003-04,Kharif,61897.0,Hectare,121000.0,Bales,1.9548604940465613
